n:79 mse_avg:32.45 mse_y:34.50 mse_u:34.35 mse_v:22.34 psnr_avg:33.02 psnr_y:32.75 psnr_u:32.77 psnr_v:34.64 
n:80 mse_avg:32.05 mse_y:34.23 mse_u:32.92 mse_v:22.44 psnr_avg:33.07 psnr_y:32.79 psnr_u:32.96 psnr_v:34.62 
n:81 mse_avg:32.04 mse_y:33.99 mse_u:33.95 mse_v:22.32 psnr_avg:33.07 psnr_y:32.82 psnr_u:32.82 psnr_v:34.64 
n:82 mse_avg:32.52 mse_y:34.54 mse_u:34.34 mse_v:22.61 psnr_avg:33.01 psnr_y:32.75 psnr_u:32.77 psnr_v:34.59 
n:83 mse_avg:32.54 mse_y:34.65 mse_u:34.07 mse_v:22.60 psnr_avg:33.01 psnr_y:32.73 psnr_u:32.81 psnr_v:34.59 
n:84 mse_avg:32.80 mse_y:34.84 mse_u:34.70 mse_v:22.74 psnr_avg:32.97 psnr_y:32.71 psnr_u:32.73 psnr_v:34.56 
n:85 mse_avg:33.02 mse_y:35.13 mse_u:35.08 mse_v:22.51 psnr_avg:32.94 psnr_y:32.67 psnr_u:32.68 psnr_v:34.61 
n:86 mse_avg:33.38 mse_y:35.72 mse_u:34.72 mse_v:22.69 psnr_avg:32.90 psnr_y:32.60 psnr_u:32.72 psnr_v:34.57 
n:87 mse_avg:33.54 mse_y:35.73 mse_u:35.48 mse_v:22.86 psnr_avg:32.87 psnr_y:32.60 psnr_u:32.63 psnr_v:34.54 
n:88 mse_avg:34.09 mse_y:36.25 mse_u:36.44 mse_v:23.08 psnr_avg:32.80 psnr_y:32.54 psnr_u:32.52 psnr_v:34.50 
n:89 mse_avg:34.18 mse_y:36.55 mse_u:35.94 mse_v:22.91 psnr_avg:32.79 psnr_y:32.50 psnr_u:32.58 psnr_v:34.53 
n:90 mse_avg:34.39 mse_y:36.78 mse_u:36.20 mse_v:23.03 psnr_avg:32.77 psnr_y:32.47 psnr_u:32.54 psnr_v:34.51 
n:91 mse_avg:34.64 mse_y:37.05 mse_u:36.30 mse_v:23.34 psnr_avg:32.74 psnr_y:32.44 psnr_u:32.53 psnr_v:34.45 
n:92 mse_avg:35.42 mse_y:37.87 mse_u:37.36 mse_v:23.68 psnr_avg:32.64 psnr_y:32.35 psnr_u:32.41 psnr_v:34.39 
n:93 mse_avg:35.86 mse_y:38.34 mse_u:37.94 mse_v:23.81 psnr_avg:32.59 psnr_y:32.29 psnr_u:32.34 psnr_v:34.36 
n:94 mse_avg:35.47 mse_y:37.81 mse_u:37.84 mse_v:23.76 psnr_avg:32.63 psnr_y:32.35 psnr_u:32.35 psnr_v:34.37 
n:95 mse_avg:36.14 mse_y:38.60 mse_u:38.25 mse_v:24.18 psnr_avg:32.55 psnr_y:32.26 psnr_u:32.30 psnr_v:34.30 
n:96 mse_avg:36.73 mse_y:39.28 mse_u:38.88 mse_v:24.38 psnr_avg:32.48 psnr_y:32.19 psnr_u:32.23 psnr_v:34.26 
n:97 mse_avg:37.33 mse_y:39.92 mse_u:39.73 mse_v:24.57 psnr_avg:32.41 psnr_y:32.12 psnr_u:32.14 psnr_v:34.23 
n:98 mse_avg:37.32 mse_y:39.78 mse_u:39.84 mse_v:24.98 psnr_avg:32.41 psnr_y:32.13 psnr_u:32.13 psnr_v:34.15 
n:99 mse_avg:37.53 mse_y:40.12 mse_u:39.60 mse_v:25.09 psnr_avg:32.39 psnr_y:32.10 psnr_u:32.15 psnr_v:34.14 
n:100 mse_avg:37.54 mse_y:39.98 mse_u:40.11 mse_v:25.23 psnr_avg:32.39 psnr_y:32.11 psnr_u:32.10 psnr_v:34.11 
n:101 mse_avg:38.43 mse_y:40.92 mse_u:41.44 mse_v:25.45 psnr_avg:32.28 psnr_y:32.01 psnr_u:31.96 psnr_v:34.07 
n:102 mse_avg:38.99 mse_y:41.72 mse_u:41.23 mse_v:25.86 psnr_avg:32.22 psnr_y:31.93 psnr_u:31.98 psnr_v:34.00 
n:103 mse_avg:39.55 mse_y:42.27 mse_u:42.07 mse_v:26.18 psnr_avg:32.16 psnr_y:31.87 psnr_u:31.89 psnr_v:33.95 
n:104 mse_avg:39.51 mse_y:42.16 mse_u:41.87 mse_v:26.56 psnr_avg:32.16 psnr_y:31.88 psnr_u:31.91 psnr_v:33.89 
n:105 mse_avg:40.00 mse_y:42.80 mse_u:42.39 mse_v:26.38 psnr_avg:32.11 psnr_y:31.82 psnr_u:31.86 psnr_v:33.92 
n:106 mse_avg:39.93 mse_y:42.72 mse_u:42.10 mse_v:26.56 psnr_avg:32.12 psnr_y:31.82 psnr_u:31.89 psnr_v:33.89 
n:107 mse_avg:40.12 mse_y:42.94 mse_u:42.34 mse_v:26.65 psnr_avg:32.10 psnr_y:31.80 psnr_u:31.86 psnr_v:33.87 
n:108 mse_avg:40.79 mse_y:43.72 mse_u:43.27 mse_v:26.60 psnr_avg:32.03 psnr_y:31.72 psnr_u:31.77 psnr_v:33.88 
n:109 mse_avg:41.17 mse_y:44.13 mse_u:43.35 mse_v:27.16 psnr_avg:31.98 psnr_y:31.68 psnr_u:31.76 psnr_v:33.79 
n:110 mse_avg:41.84 mse_y:44.90 mse_u:43.93 mse_v:27.51 psnr_avg:31.91 psnr_y:31.61 psnr_u:31.70 psnr_v:33.74 
n:111 mse_avg:42.58 mse_y:45.86 mse_u:44.66 mse_v:27.37 psnr_avg:31.84 psnr_y:31.52 psnr_u:31.63 psnr_v:33.76 
n:112 mse_avg:41.79 mse_y:44.71 mse_u:44.65 mse_v:27.22 psnr_avg:31.92 psnr_y:31.63 psnr_u:31.63 psnr_v:33.78 
n:113 mse_avg:41.89 mse_y:44.69 mse_u:45.20 mse_v:27.38 psnr_avg:31.91 psnr_y:31.63 psnr_u:31.58 psnr_v:33.76 
n:114 mse_avg:42.28 mse_y:45.29 mse_u:44.74 mse_v:27.79 psnr_avg:31.87 psnr_y:31.57 psnr_u:31.62 psnr_v:33.69 
n:115 mse_avg:42.25 mse_y:45.24 mse_u:44.83 mse_v:27.69 psnr_avg:31.87 psnr_y:31.58 psnr_u:31.62 psnr_v:33.71 
n:116 mse_avg:42.44 mse_y:45.53 mse_u:45.17 mse_v:27.39 psnr_avg:31.85 psnr_y:31.55 psnr_u:31.58 psnr_v:33.76 
n:117 mse_avg:43.19 mse_y:46.35 mse_u:45.76 mse_v:27.99 psnr_avg:31.78 psnr_y:31.47 psnr_u:31.53 psnr_v:33.66 
n:118 mse_avg:43.75 mse_y:47.50 mse_u:44.84 mse_v:27.69 psnr_avg:31.72 psnr_y:31.36 psnr_u:31.61 psnr_v:33.71 
n:119 mse_avg:44.15 mse_y:47.94 mse_u:45.46 mse_v:27.67 psnr_avg:31.68 psnr_y:31.32 psnr_u:31.55 psnr_v:33.71 
n:120 mse_avg:43.91 mse_y:47.55 mse_u:45.48 mse_v:27.77 psnr_avg:31.71 psnr_y:31.36 psnr_u:31.55 psnr_v:33.70 
n:121 mse_avg:43.08 mse_y:46.38 mse_u:45.29 mse_v:27.68 psnr_avg:31.79 psnr_y:31.47 psnr_u:31.57 psnr_v:33.71 
n:122 mse_avg:43.70 mse_y:47.10 mse_u:45.75 mse_v:28.03 psnr_avg:31.73 psnr_y:31.40 psnr_u:31.53 psnr_v:33.66 
n:123 mse_avg:44.49 mse_y:48.29 mse_u:46.05 mse_v:27.73 psnr_avg:31.65 psnr_y:31.29 psnr_u:31.50 psnr_v:33.70 
n:124 mse_avg:45.31 mse_y:49.02 mse_u:47.36 mse_v:28.43 psnr_avg:31.57 psnr_y:31.23 psnr_u:31.38 psnr_v:33.59 
n:125 mse_avg:45.67 mse_y:49.46 mse_u:47.49 mse_v:28.65 psnr_avg:31.53 psnr_y:31.19 psnr_u:31.36 psnr_v:33.56 
n:126 mse_avg:45.11 mse_y:48.61 mse_u:47.52 mse_v:28.74 psnr_avg:31.59 psnr_y:31.26 psnr_u:31.36 psnr_v:33.55 
n:127 mse_avg:44.40 mse_y:47.74 mse_u:47.09 mse_v:28.35 psnr_avg:31.66 psnr_y:31.34 psnr_u:31.40 psnr_v:33.61 
n:128 mse_avg:44.38 mse_y:47.79 mse_u:47.26 mse_v:27.84 psnr_avg:31.66 psnr_y:31.34 psnr_u:31.39 psnr_v:33.68 
n:129 mse_avg:44.21 mse_y:47.36 mse_u:47.77 mse_v:28.09 psnr_avg:31.68 psnr_y:31.38 psnr_u:31.34 psnr_v:33.65 
n:130 mse_avg:44.98 mse_y:48.50 mse_u:47.84 mse_v:28.04 psnr_avg:31.60 psnr_y:31.27 psnr_u:31.33 psnr_v:33.65 
n:131 mse_avg:45.32 mse_y:48.72 mse_u:48.26 mse_v:28.79 psnr_avg:31.57 psnr_y:31.25 psnr_u:31.29 psnr_v:33.54 
n:132 mse_avg:46.09 mse_y:49.81 mse_u:48.85 mse_v:28.42 psnr_avg:31.50 psnr_y:31.16 psnr_u:31.24 psnr_v:33.59 
n:133 mse_avg:45.66 mse_y:49.15 mse_u:48.67 mse_v:28.68 psnr_avg:31.54 psnr_y:31.22 psnr_u:31.26 psnr_v:33.56 
n:134 mse_avg:46.08 mse_y:49.66 mse_u:48.83 mse_v:29.00 psnr_avg:31.50 psnr_y:31.17 psnr_u:31.24 psnr_v:33.51 
n:135 mse_avg:45.76 mse_y:49.28 mse_u:48.73 mse_v:28.71 psnr_avg:31.53 psnr_y:31.20 psnr_u:31.25 psnr_v:33.55 
n:136 mse_avg:46.15 mse_y:49.88 mse_u:48.97 mse_v:28.44 psnr_avg:31.49 psnr_y:31.15 psnr_u:31.23 psnr_v:33.59 
n:137 mse_avg:46.56 mse_y:50.48 mse_u:48.70 mse_v:28.71 psnr_avg:31.45 psnr_y:31.10 psnr_u:31.26 psnr_v:33.55 
n:138 mse_avg:47.15 mse_y:51.13 mse_u:49.59 mse_v:28.80 psnr_avg:31.40 psnr_y:31.04 psnr_u:31.18 psnr_v:33.54 
n:139 mse_avg:47.89 mse_y:52.17 mse_u:49.53 mse_v:29.10 psnr_avg:31.33 psnr_y:30.96 psnr_u:31.18 psnr_v:33.49 
n:140 mse_avg:47.71 mse_y:51.75 mse_u:50.03 mse_v:29.26 psnr_avg:31.34 psnr_y:30.99 psnr_u:31.14 psnr_v:33.47 
n:141 mse_avg:47.66 mse_y:51.46 mse_u:50.60 mse_v:29.54 psnr_avg:31.35 psnr_y:31.02 psnr_u:31.09 psnr_v:33.43 
n:142 mse_avg:47.78 mse_y:52.01 mse_u:49.63 mse_v:29.00 psnr_avg:31.34 psnr_y:30.97 psnr_u:31.17 psnr_v:33.51 
n:143 mse_avg:48.23 mse_y:52.41 mse_u:50.70 mse_v:29.03 psnr_avg:31.30 psnr_y:30.94 psnr_u:31.08 psnr_v:33.50 
n:144 mse_avg:48.93 mse_y:53.36 mse_u:50.53 mse_v:29.62 psnr_avg:31.23 psnr_y:30.86 psnr_u:31.09 psnr_v:33.41 
n:145 mse_avg:49.73 mse_y:54.40 mse_u:50.91 mse_v:29.84 psnr_avg:31.16 psnr_y:30.77 psnr_u:31.06 psnr_v:33.38 
n:146 mse_avg:48.97 mse_y:53.39 mse_u:50.94 mse_v:29.30 psnr_avg:31.23 psnr_y:30.86 psnr_u:31.06 psnr_v:33.46 
n:147 mse_avg:49.45 mse_y:53.99 mse_u:51.21 mse_v:29.52 psnr_avg:31.19 psnr_y:30.81 psnr_u:31.04 psnr_v:33.43 
n:148 mse_avg:50.53 mse_y:55.49 mse_u:51.46 mse_v:29.76 psnr_avg:31.10 psnr_y:30.69 psnr_u:31.02 psnr_v:33.39 
n:149 mse_avg:51.22 mse_y:56.30 mse_u:51.66 mse_v:30.45 psnr_avg:31.04 psnr_y:30.63 psnr_u:31.00 psnr_v:33.30 
n:150 mse_avg:51.49 mse_y:56.55 mse_u:52.16 mse_v:30.57 psnr_avg:31.01 psnr_y:30.61 psnr_u:30.96 psnr_v:33.28 
n:151 mse_avg:52.94 mse_y:58.39 mse_u:53.15 mse_v:30.91 psnr_avg:30.89 psnr_y:30.47 psnr_u:30.88 psnr_v:33.23 
n:152 mse_avg:53.63 mse_y:59.50 mse_u:52.50 mse_v:31.24 psnr_avg:30.84 psnr_y:30.39 psnr_u:30.93 psnr_v:33.18 
n:153 mse_avg:53.33 mse_y:58.89 mse_u:53.23 mse_v:31.18 psnr_avg:30.86 psnr_y:30.43 psnr_u:30.87 psnr_v:33.19 
n:154 mse_avg:52.14 mse_y:57.05 mse_u:53.27 mse_v:31.36 psnr_avg:30.96 psnr_y:30.57 psnr_u:30.87 psnr_v:33.17 
n:155 mse_avg:52.57 mse_y:57.59 mse_u:53.69 mse_v:31.39 psnr_avg:30.92 psnr_y:30.53 psnr_u:30.83 psnr_v:33.16 
n:156 mse_avg:53.00 mse_y:58.06 mse_u:54.20 mse_v:31.53 psnr_avg:30.89 psnr_y:30.49 psnr_u:30.79 psnr_v:33.14 
n:157 mse_avg:53.02 mse_y:58.12 mse_u:53.96 mse_v:31.66 psnr_avg:30.89 psnr_y:30.49 psnr_u:30.81 psnr_v:33.13 
n:158 mse_avg:53.52 mse_y:58.77 mse_u:54.38 mse_v:31.64 psnr_avg:30.85 psnr_y:30.44 psnr_u:30.78 psnr_v:33.13 
n:159 mse_avg:53.90 mse_y:59.20 mse_u:54.79 mse_v:31.79 psnr_avg:30.81 psnr_y:30.41 psnr_u:30.74 psnr_v:33.11 
n:160 mse_avg:53.00 mse_y:58.18 mse_u:53.65 mse_v:31.65 psnr_avg:30.89 psnr_y:30.48 psnr_u:30.83 psnr_v:33.13 
n:161 mse_avg:53.39 mse_y:58.43 mse_u:54.93 mse_v:31.73 psnr_avg:30.86 psnr_y:30.46 psnr_u:30.73 psnr_v:33.12 
n:162 mse_avg:54.04 mse_y:59.36 mse_u:55.12 mse_v:31.70 psnr_avg:30.80 psnr_y:30.40 psnr_u:30.72 psnr_v:33.12 
n:163 mse_avg:54.47 mse_y:59.78 mse_u:55.64 mse_v:32.02 psnr_avg:30.77 psnr_y:30.36 psnr_u:30.68 psnr_v:33.08 
n:164 mse_avg:55.45 mse_y:61.03 mse_u:56.15 mse_v:32.41 psnr_avg:30.69 psnr_y:30.28 psnr_u:30.64 psnr_v:33.02 
n:165 mse_avg:56.42 mse_y:62.49 mse_u:56.00 mse_v:32.55 psnr_avg:30.62 psnr_y:30.17 psnr_u:30.65 psnr_v:33.00 
n:166 mse_avg:56.19 mse_y:62.02 mse_u:56.51 mse_v:32.56 psnr_avg:30.63 psnr_y:30.21 psnr_u:30.61 psnr_v:33.00 
n:167 mse_avg:55.72 mse_y:61.18 mse_u:57.14 mse_v:32.46 psnr_avg:30.67 psnr_y:30.26 psnr_u:30.56 psnr_v:33.02 
n:168 mse_avg:55.78 mse_y:61.42 mse_u:56.50 mse_v:32.49 psnr_avg:30.67 psnr_y:30.25 psnr_u:30.61 psnr_v:33.01 
