n:104 mse_avg:189.08 mse_y:253.39 mse_u:81.55 mse_v:39.36 psnr_avg:25.36 psnr_y:24.09 psnr_u:29.02 psnr_v:32.18 
n:105 mse_avg:188.59 mse_y:252.53 mse_u:82.13 mse_v:39.29 psnr_avg:25.38 psnr_y:24.11 psnr_u:28.99 psnr_v:32.19 
n:106 mse_avg:187.24 mse_y:250.40 mse_u:82.53 mse_v:39.33 psnr_avg:25.41 psnr_y:24.14 psnr_u:28.96 psnr_v:32.18 
n:107 mse_avg:189.03 mse_y:252.89 mse_u:82.83 mse_v:39.78 psnr_avg:25.37 psnr_y:24.10 psnr_u:28.95 psnr_v:32.13 
n:108 mse_avg:188.19 mse_y:251.23 mse_u:84.48 mse_v:39.77 psnr_avg:25.38 psnr_y:24.13 psnr_u:28.86 psnr_v:32.14 
n:109 mse_avg:192.85 mse_y:258.04 mse_u:84.52 mse_v:40.44 psnr_avg:25.28 psnr_y:24.01 psnr_u:28.86 psnr_v:32.06 
n:110 mse_avg:195.52 mse_y:261.92 mse_u:84.78 mse_v:40.65 psnr_avg:25.22 psnr_y:23.95 psnr_u:28.85 psnr_v:32.04 
n:111 mse_avg:197.89 mse_y:265.11 mse_u:86.06 mse_v:40.84 psnr_avg:25.17 psnr_y:23.90 psnr_u:28.78 psnr_v:32.02 
n:112 mse_avg:193.62 mse_y:258.57 mse_u:86.35 mse_v:41.09 psnr_avg:25.26 psnr_y:24.01 psnr_u:28.77 psnr_v:31.99 
n:113 mse_avg:194.19 mse_y:259.15 mse_u:87.68 mse_v:40.86 psnr_avg:25.25 psnr_y:24.00 psnr_u:28.70 psnr_v:32.02 
n:114 mse_avg:197.16 mse_y:263.81 mse_u:86.49 mse_v:41.20 psnr_avg:25.18 psnr_y:23.92 psnr_u:28.76 psnr_v:31.98 
n:115 mse_avg:198.87 mse_y:266.27 mse_u:87.06 mse_v:41.11 psnr_avg:25.15 psnr_y:23.88 psnr_u:28.73 psnr_v:31.99 
n:116 mse_avg:199.54 mse_y:267.16 mse_u:87.52 mse_v:41.10 psnr_avg:25.13 psnr_y:23.86 psnr_u:28.71 psnr_v:31.99 
n:117 mse_avg:201.60 mse_y:269.89 mse_u:88.52 mse_v:41.51 psnr_avg:25.09 psnr_y:23.82 psnr_u:28.66 psnr_v:31.95 
n:118 mse_avg:207.32 mse_y:278.35 mse_u:89.03 mse_v:41.50 psnr_avg:24.96 psnr_y:23.68 psnr_u:28.64 psnr_v:31.95 
n:119 mse_avg:205.92 mse_y:276.32 mse_u:88.76 mse_v:41.48 psnr_avg:24.99 psnr_y:23.72 psnr_u:28.65 psnr_v:31.95 
n:120 mse_avg:204.80 mse_y:274.46 mse_u:89.14 mse_v:41.79 psnr_avg:25.02 psnr_y:23.75 psnr_u:28.63 psnr_v:31.92 
n:121 mse_avg:202.55 mse_y:270.99 mse_u:89.40 mse_v:41.90 psnr_avg:25.07 psnr_y:23.80 psnr_u:28.62 psnr_v:31.91 
n:122 mse_avg:203.46 mse_y:272.30 mse_u:89.51 mse_v:42.08 psnr_avg:25.05 psnr_y:23.78 psnr_u:28.61 psnr_v:31.89 
n:123 mse_avg:206.22 mse_y:276.51 mse_u:89.60 mse_v:41.66 psnr_avg:24.99 psnr_y:23.71 psnr_u:28.61 psnr_v:31.93 
n:124 mse_avg:209.85 mse_y:281.67 mse_u:90.37 mse_v:42.03 psnr_avg:24.91 psnr_y:23.63 psnr_u:28.57 psnr_v:31.90 
n:125 mse_avg:210.54 mse_y:282.35 mse_u:91.60 mse_v:42.26 psnr_avg:24.90 psnr_y:23.62 psnr_u:28.51 psnr_v:31.87 
n:126 mse_avg:209.41 mse_y:280.32 mse_u:92.48 mse_v:42.70 psnr_avg:24.92 psnr_y:23.65 psnr_u:28.47 psnr_v:31.83 
n:127 mse_avg:202.14 mse_y:269.55 mse_u:92.26 mse_v:42.39 psnr_avg:25.07 psnr_y:23.82 psnr_u:28.48 psnr_v:31.86 
n:128 mse_avg:197.93 mse_y:263.24 mse_u:92.60 mse_v:42.03 psnr_avg:25.17 psnr_y:23.93 psnr_u:28.46 psnr_v:31.90 
n:129 mse_avg:198.72 mse_y:264.55 mse_u:92.01 mse_v:42.08 psnr_avg:25.15 psnr_y:23.91 psnr_u:28.49 psnr_v:31.89 
n:130 mse_avg:201.72 mse_y:268.84 mse_u:92.90 mse_v:42.06 psnr_avg:25.08 psnr_y:23.84 psnr_u:28.45 psnr_v:31.89 
n:131 mse_avg:206.23 mse_y:275.44 mse_u:93.19 mse_v:42.47 psnr_avg:24.99 psnr_y:23.73 psnr_u:28.44 psnr_v:31.85 
n:132 mse_avg:208.15 mse_y:278.24 mse_u:93.47 mse_v:42.44 psnr_avg:24.95 psnr_y:23.69 psnr_u:28.42 psnr_v:31.85 
n:133 mse_avg:206.64 mse_y:275.94 mse_u:93.64 mse_v:42.49 psnr_avg:24.98 psnr_y:23.72 psnr_u:28.42 psnr_v:31.85 
n:134 mse_avg:204.91 mse_y:273.32 mse_u:93.56 mse_v:42.65 psnr_avg:25.02 psnr_y:23.76 psnr_u:28.42 psnr_v:31.83 
n:135 mse_avg:203.98 mse_y:271.80 mse_u:94.29 mse_v:42.39 psnr_avg:25.03 psnr_y:23.79 psnr_u:28.39 psnr_v:31.86 
n:136 mse_avg:204.32 mse_y:272.25 mse_u:94.63 mse_v:42.24 psnr_avg:25.03 psnr_y:23.78 psnr_u:28.37 psnr_v:31.87 
n:137 mse_avg:204.68 mse_y:272.79 mse_u:94.40 mse_v:42.54 psnr_avg:25.02 psnr_y:23.77 psnr_u:28.38 psnr_v:31.84 
n:138 mse_avg:207.17 mse_y:276.19 mse_u:95.45 mse_v:42.82 psnr_avg:24.97 psnr_y:23.72 psnr_u:28.33 psnr_v:31.81 
n:139 mse_avg:213.68 mse_y:285.53 mse_u:96.70 mse_v:43.28 psnr_avg:24.83 psnr_y:23.57 psnr_u:28.28 psnr_v:31.77 
n:140 mse_avg:209.53 mse_y:279.18 mse_u:97.04 mse_v:43.42 psnr_avg:24.92 psnr_y:23.67 psnr_u:28.26 psnr_v:31.75 
n:141 mse_avg:210.35 mse_y:280.19 mse_u:97.54 mse_v:43.81 psnr_avg:24.90 psnr_y:23.66 psnr_u:28.24 psnr_v:31.72 
n:142 mse_avg:209.36 mse_y:278.76 mse_u:97.42 mse_v:43.71 psnr_avg:24.92 psnr_y:23.68 psnr_u:28.24 psnr_v:31.73 
