n:85 mse_avg:563.71 mse_y:813.61 mse_u:83.67 mse_v:44.13 psnr_avg:20.62 psnr_y:19.03 psnr_u:28.91 psnr_v:31.68 
n:86 mse_avg:561.02 mse_y:809.76 mse_u:83.75 mse_v:43.33 psnr_avg:20.64 psnr_y:19.05 psnr_u:28.90 psnr_v:31.76 
n:87 mse_avg:576.73 mse_y:833.21 mse_u:84.43 mse_v:43.11 psnr_avg:20.52 psnr_y:18.92 psnr_u:28.87 psnr_v:31.78 
n:88 mse_avg:569.96 mse_y:822.48 mse_u:86.22 mse_v:43.60 psnr_avg:20.57 psnr_y:18.98 psnr_u:28.77 psnr_v:31.74 
n:89 mse_avg:567.86 mse_y:819.58 mse_u:85.14 mse_v:43.68 psnr_avg:20.59 psnr_y:18.99 psnr_u:28.83 psnr_v:31.73 
n:90 mse_avg:580.54 mse_y:838.11 mse_u:86.26 mse_v:44.54 psnr_avg:20.49 psnr_y:18.90 psnr_u:28.77 psnr_v:31.64 
n:91 mse_avg:583.47 mse_y:841.97 mse_u:88.20 mse_v:44.71 psnr_avg:20.47 psnr_y:18.88 psnr_u:28.68 psnr_v:31.63 
n:92 mse_avg:593.54 mse_y:856.86 mse_u:87.56 mse_v:46.26 psnr_avg:20.40 psnr_y:18.80 psnr_u:28.71 psnr_v:31.48 
n:93 mse_avg:595.61 mse_y:859.93 mse_u:87.37 mse_v:46.57 psnr_avg:20.38 psnr_y:18.79 psnr_u:28.72 psnr_v:31.45 
n:94 mse_avg:599.98 mse_y:866.12 mse_u:88.50 mse_v:46.91 psnr_avg:20.35 psnr_y:18.76 psnr_u:28.66 psnr_v:31.42 
n:95 mse_avg:600.19 mse_y:866.04 mse_u:89.90 mse_v:47.07 psnr_avg:20.35 psnr_y:18.76 psnr_u:28.59 psnr_v:31.40 
n:96 mse_avg:608.98 mse_y:879.15 mse_u:90.75 mse_v:46.52 psnr_avg:20.28 psnr_y:18.69 psnr_u:28.55 psnr_v:31.45 
n:97 mse_avg:616.35 mse_y:889.72 mse_u:91.95 mse_v:47.28 psnr_avg:20.23 psnr_y:18.64 psnr_u:28.50 psnr_v:31.38 
n:98 mse_avg:611.66 mse_y:882.37 mse_u:92.70 mse_v:47.81 psnr_avg:20.27 psnr_y:18.67 psnr_u:28.46 psnr_v:31.34 
n:99 mse_avg:610.41 mse_y:880.30 mse_u:93.36 mse_v:47.89 psnr_avg:20.27 psnr_y:18.68 psnr_u:28.43 psnr_v:31.33 
n:100 mse_avg:619.85 mse_y:893.99 mse_u:95.07 mse_v:48.08 psnr_avg:20.21 psnr_y:18.62 psnr_u:28.35 psnr_v:31.31 
n:101 mse_avg:621.18 mse_y:895.66 mse_u:96.04 mse_v:48.39 psnr_avg:20.20 psnr_y:18.61 psnr_u:28.31 psnr_v:31.28 
n:102 mse_avg:619.39 mse_y:893.08 mse_u:96.19 mse_v:47.85 psnr_avg:20.21 psnr_y:18.62 psnr_u:28.30 psnr_v:31.33 
n:103 mse_avg:624.99 mse_y:901.44 mse_u:96.06 mse_v:48.11 psnr_avg:20.17 psnr_y:18.58 psnr_u:28.31 psnr_v:31.31 
n:104 mse_avg:627.99 mse_y:905.36 mse_u:97.11 mse_v:49.39 psnr_avg:20.15 psnr_y:18.56 psnr_u:28.26 psnr_v:31.19 
n:105 mse_avg:627.64 mse_y:905.03 mse_u:96.63 mse_v:49.07 psnr_avg:20.15 psnr_y:18.56 psnr_u:28.28 psnr_v:31.22 
n:106 mse_avg:631.97 mse_y:910.88 mse_u:98.24 mse_v:50.08 psnr_avg:20.12 psnr_y:18.54 psnr_u:28.21 psnr_v:31.13 
n:107 mse_avg:640.02 mse_y:922.71 mse_u:98.44 mse_v:50.83 psnr_avg:20.07 psnr_y:18.48 psnr_u:28.20 psnr_v:31.07 
